매장코드,상품코드,재고
S00001,G00189,3
S00001,G00190,7
S00001,G00191,1
S00001,G00192,2
S00001,G00193,1
S00001,G00194,6
S00001,G00195,1
S00001,G00196,4
S00001,G00197,3
S00001,G00198,2
S00001,G00199,3
S00001,G00200,108
S00001,G00201,12
S00001,G00202,1
S00001,G00203,77
S00001,G00204,2
S00001,G00205,1
S00001,G00206,5
S00001,G00207,2
S00001,G00208,43
S00001,G00209,54
S00001,G00210,7
S00001,G00211,27
S00001,G00212,84
S00001,G00213,8
S00001,G00214,3
S00001,G00215,6
S00001,G00216,1
S00001,G00217,14
S00001,G00218,6
S00001,G00219,5
S00001,G00220,28
S00001,G00221,7
S00001,G00222,1
S00001,G00223,2
S00001,G00224,1
S00001,G00225,31
S00001,G00226,31
S00001,G00227,6
S00001,G00228,6
S00001,G00229,26
S00001,G00230,6
S00001,G00231,12
S00001,G00232,1
S00001,G00233,1
S00001,G00234,4
S00001,G00235,3
S00001,G00236,1
S00001,G00237,1
S00001,G00238,2
S00001,G00239,10
S00001,G00240,7
S00001,G00241,176
S00001,G00242,3
S00001,G00243,10
S00001,G00244,39
S00001,G00245,4
S00001,G00246,1
S00001,G00247,3
S00001,G00248,1
S00001,G00249,1
S00001,G00250,1
S00001,G00251,20
S00001,G00252,1
S00001,G00253,1
S00001,G00254,1
S00001,G00255,10
S00001,G00256,22
S00001,G00257,6
S00001,G00258,3
S00001,G00259,8
S00001,G00260,201
S00001,G00261,3
S00001,G00262,23
S00001,G00263,3
S00001,G00264,6
S00001,G00265,7
S00001,G00266,2
S00001,G00267,1
S00001,G00268,20
S00001,G00269,1
S00001,G00270,102
S00001,G00271,48
S00001,G00272,3
S00001,G00273,16
S00001,G00274,30
S00001,G00275,4
S00001,G00276,2
S00001,G00277,104
S00001,G00278,12
S00001,G00279,4
S00001,G00280,6
S00001,G00281,5
S00001,G00282,1
S00001,G00283,4
S00001,G00284,2
S00001,G00285,148
S00001,G00286,1
S00001,G00287,28
S00001,G00288,19
S00001,G00289,11
S00001,G00290,57
S00001,G00291,53
S00001,G00292,7
S00001,G00293,133
S00001,G00294,2
S00001,G00295,2
S00001,G00296,9
S00001,G00297,1
S00001,G00298,4
S00001,G00299,62
S00001,G00300,16
S00001,G00301,34
S00001,G00302,1
S00001,G00303,5
S00001,G00304,34
S00001,G00305,1
S00001,G00306,11
S00001,G00307,4
S00001,G00308,21
S00001,G00309,3
S00001,G00310,1
S00001,G00311,4
S00001,G00312,1
S00001,G00313,81
S00001,G00314,26
S00001,G00315,22
S00001,G00316,2
S00001,G00317,19
S00001,G00318,1296
S00001,G00319,6
S00001,G00320,9
S00001,G00321,2
S00001,G00322,26
S00001,G00323,2
S00001,G00324,15
S00001,G00325,32
S00001,G00326,1
S00001,G00327,3
S00001,G00328,9
S00001,G00329,4
S00001,G00330,7
S00001,G00331,16
S00001,G00332,9
S00001,G00333,8
S00001,G00334,2
S00001,G00335,7
S00001,G00336,1
S00001,G00337,5
S00001,G00338,2
S00001,G00339,15
S00001,G00340,15
S00001,G00341,288
S00001,G00342,2
S00001,G00343,5
S00001,G00344,7
S00001,G00345,1
S00001,G00346,6
S00001,G00347,2
S00001,G00348,1
S00001,G00349,2
S00001,G00350,1
S00001,G00351,1
S00001,G00352,9
S00001,G00353,2
S00001,G00354,2
S00001,G00355,2
S00001,G00356,4
S00001,G00357,1
S00001,G00358,2
S00001,G00359,2
S00001,G00360,3
S00001,G00361,3
S00001,G00362,14
S00001,G00363,20
S00001,G00364,8
S00001,G00365,3
S00001,G00366,5
S00001,G00367,29
S00001,G00368,3
S00001,G00369,10
S00001,G00370,4
S00001,G00371,21
S00001,G00372,3
S00001,G00373,4
S00001,G00374,14
S00001,G00375,4
S00001,G00376,5
S00001,G00377,1
S00001,G00378,8
S00001,G00379,2
S00001,G00380,2
S00001,G00381,14
S00001,G00382,3
S00001,G00383,1
S00001,G00384,8
S00001,G00385,7
S00001,G00386,162
S00001,G00387,1
S00001,G00388,1
S00001,G00389,2
S00001,G00390,102
S00001,G00391,8
S00001,G00392,1
S00001,G00393,5
S00001,G00394,77
S00001,G00395,17
S00001,G00396,2
S00001,G00397,2
S00001,G00398,12
S00001,G00399,1
S00001,G00400,3
S00001,G00401,9
S00001,G00402,1
S00001,G00403,9
S00001,G00404,2
S00001,G00405,8
S00001,G00406,1
S00001,G00407,1
S00001,G00408,1
S00001,G00409,16
S00001,G00410,46
S00001,G00411,5
S00001,G00412,5
S00001,G00413,15
S00001,G00414,54
S00001,G00415,9
S00001,G00416,1
S00001,G00417,15
S00001,G00418,19
S00001,G00419,3
S00001,G00420,10
S00001,G00421,9
S00001,G00422,6
S00001,G00423,7
S00001,G00424,3
S00001,G00425,1
S00001,G00426,100
S00001,G00427,5
S00001,G00428,1
S00001,G00429,4
S00001,G00430,7
S00001,G00431,5
S00001,G00432,2
S00001,G00433,2
S00001,G00434,1
S00001,G00435,8
S00001,G00436,1
S00001,G00437,2
S00001,G00438,5
S00001,G00439,8
S00001,G00440,2
S00001,G00441,232
S00001,G00442,2
S00001,G00443,3
S00001,G00444,3
S00001,G00445,8
S00001,G00446,14
S00001,G00447,7
S00001,G00448,121
S00001,G00449,3
S00001,G00450,15
S00001,G00451,4
S00001,G00452,1
S00001,G00453,2
S00001,G00454,6
S00001,G00455,53
S00001,G00456,44
S00001,G00457,2
S00001,G00458,17
S00001,G00459,3
S00001,G00460,23
S00001,G00461,16
S00001,G00462,20
S00001,G00463,1
S00001,G00464,3
S00001,G00465,6
S00001,G00466,7
S00001,G00467,10
S00001,G00468,3
S00001,G00469,256
S00001,G00470,1
S00001,G00471,6
S00001,G00472,28
S00001,G00473,20
S00001,G00474,12
S00001,G00475,1
S00001,G00476,2
S00001,G00477,3
S00001,G00478,3
S00001,G00479,89
S00001,G00480,2
S00001,G00481,2
S00001,G00482,5
S00001,G00483,9
S00001,G00484,5
S00001,G00485,13
S00001,G00486,2
S00001,G00487,7
S00001,G00488,1
S00001,G00489,4
S00001,G00490,3
S00001,G00491,4
S00001,G00492,1
S00001,G00493,21
S00001,G00494,3
S00001,G00495,12
S00001,G00496,12
S00001,G00497,1
S00001,G00498,6
S00001,G00499,53
S00001,G00500,51
S00001,G00501,8
S00001,G00502,9
S00001,G00503,1
S00001,G00504,27
S00001,G00505,17
S00001,G00506,7
S00001,G00507,2
S00001,G00508,3
S00001,G00509,34
S00001,G00510,1
S00001,G00511,1
S00001,G00512,3
S00001,G00513,5
S00001,G00514,1
S00001,G00515,15
S00001,G00516,12
S00001,G00517,4
S00001,G00518,3
S00001,G00519,7
S00001,G00520,1
S00001,G00521,1
S00001,G00522,6
S00001,G00523,6
S00001,G00524,3
S00001,G00525,20
S00001,G00526,2
S00001,G00527,1
S00001,G00528,2
S00001,G00529,1
S00001,G00530,1
S00001,G00531,2
S00001,G00532,10
S00001,G00533,14
S00001,G00534,3
S00001,G00535,6
S00001,G00536,2
S00001,G00537,4
S00001,G00538,2
S00001,G00539,33
S00001,G00540,8
S00001,G00541,1
S00001,G00542,6
S00001,G00543,9
S00001,G00544,12
S00001,G00545,73
S00001,G00546,2
S00001,G00547,61
S00001,G00548,3
S00001,G00549,4
S00001,G00550,54
S00001,G00551,25
S00001,G00552,1
S00001,G00553,14
S00001,G00554,1
S00001,G00555,1
S00001,G00556,1
S00001,G00557,1
S00001,G00558,1
S00001,G00559,11
S00001,G00560,1
S00001,G00561,1
S00001,G00562,1
S00001,G00563,2
S00001,G00564,6
S00001,G00565,3
S00001,G00566,4
S00001,G00567,278
S00001,G00568,5
S00001,G00569,2
S00001,G00570,1
S00001,G00571,3
S00001,G00572,37
S00001,G00573,49
S00001,G00574,4
S00001,G00575,1
S00001,G00576,3
S00001,G00577,1
S00001,G00578,2
S00001,G00579,5
S00001,G00580,1
S00001,G00581,1
S00001,G00582,6
S00001,G00583,27
S00001,G00584,59
S00001,G00585,41
S00001,G00586,119
S00001,G00587,24
S00001,G00588,3
S00001,G00589,4
S00001,G00590,1
S00001,G00591,16
S00001,G00592,6
S00001,G00593,1
S00001,G00594,1
S00001,G00595,1
S00001,G00596,5
S00001,G00597,5
S00001,G00598,1
S00001,G00599,108
S00001,G00600,3
S00001,G00601,4
S00001,G00602,1
S00001,G00603,13
S00001,G00604,6
S00001,G00605,2
S00001,G00606,1
S00001,G00607,24
S00001,G00608,2
S00001,G00609,2
S00001,G00610,4
S00001,G00611,3
S00001,G00612,1
S00001,G00613,1
S00001,G00614,4
S00001,G00615,1
S00001,G00616,2
S00001,G00617,1
S00001,G00618,2
S00001,G00619,4
S00001,G00620,6
S00001,G00621,1
S00001,G00622,1
S00001,G00623,1
S00001,G00624,11
S00001,G00625,2
S00001,G00626,1
S00001,G00627,1
S00001,G00628,4
S00001,G00629,8
S00001,G00630,20
S00001,G00631,4
S00001,G00632,2
S00001,G00633,8
S00001,G00634,23
S00001,G00635,2
S00001,G00636,1
S00001,G00637,18
S00001,G00638,1
S00001,G00639,1
S00001,G00640,2
S00001,G00641,1
S00001,G00642,1
S00001,G00643,1
S00001,G00644,4
S00001,G00645,3
S00001,G00646,3
S00001,G00647,10
S00001,G00648,1
S00001,G00649,2
S00001,G00650,2
S00001,G00651,2
S00001,G00652,3
S00001,G00653,1
S00001,G00654,1
S00001,G00655,5
S00001,G00656,1
S00001,G00657,1
S00001,G00658,2
S00001,G00659,1
S00001,G00660,2
S00001,G00661,2
S00001,G00662,40
S00001,G00663,1
S00001,G00664,11
S00001,G00665,18
S00001,G00666,1
S00001,G00667,3
S00001,G00668,2
S00001,G00669,12
S00001,G00670,1
S00001,G00671,1
S00001,G00672,1
S00001,G00673,35
S00001,G00674,1
S00001,G00675,6
S00001,G00676,2
S00001,G00677,16
S00001,G00678,3
S00001,G00679,1
S00001,G00680,2
S00001,G00681,1
S00001,G00682,8
S00001,G00683,6
S00001,G00684,9
S00001,G00685,1
S00001,G00686,5
S00001,G00687,2
S00001,G00688,5
S00001,G00689,1
S00001,G00690,1
S00001,G00691,1
S00001,G00692,1
S00001,G00693,1
S00001,G00694,1
S00001,G00695,1
S00001,G00696,1
S00001,G00697,1
S00001,G00698,1
S00001,G00699,18
S00001,G00700,3
S00001,G00701,4
S00001,G00702,3
S00001,G00703,15
S00001,G00704,3
S00001,G00705,36
S00001,G00706,1
S00001,G00707,1
S00001,G00708,5
S00001,G00709,15
S00001,G00710,1
S00001,G00711,1
S00001,G00712,3
S00001,G00713,1
S00001,G00714,1
S00001,G00715,1
S00001,G00716,1
S00001,G00717,1
S00001,G00718,2
S00001,G00719,2
S00001,G00720,1
S00001,G00721,1
S00001,G00722,1
S00001,G00723,2
S00001,G00724,1
S00001,G00725,16
S00001,G00726,1
S00001,G00727,1
S00001,G00728,1
S00001,G00729,1
S00001,G00730,8
S00001,G00731,1
S00001,G00732,3
S00001,G00733,25
S00001,G00734,47
S00001,G00735,1
S00001,G00736,2
S00001,G00737,3
S00001,G00738,3
S00001,G00739,4
S00001,G00740,5
S00001,G00741,17
S00001,G00742,7
S00001,G00743,2
S00001,G00744,1
S00001,G00745,5
S00001,G00746,2
S00001,G00747,1
S00001,G00748,2
S00001,G00749,7
S00001,G00750,6
S00001,G00751,1
S00001,G00752,5
S00001,G00753,5
S00001,G00754,1
S00001,G00755,5
S00001,G00756,4
S00001,G00757,1
S00001,G00758,10
S00001,G00759,1
S00001,G00760,1
S00001,G00761,1
S00001,G00762,1
S00001,G00763,5
S00001,G00764,40
S00001,G00765,10
S00001,G00766,1
S00001,G00767,5
S00001,G00768,42
S00001,G00769,83
S00001,G00770,2
S00001,G00771,1
S00001,G00772,2
S00001,G00773,14
S00001,G00774,3
S00001,G00775,4
S00001,G00776,3
S00001,G00777,2
S00001,G00778,5
S00001,G00779,12
S00001,G00780,2
S00001,G00781,5
S00001,G00782,15
S00001,G00783,2
S00001,G00784,4
S00001,G00785,2
S00001,G00786,9
S00001,G00787,29
S00001,G00788,1
S00001,G00789,1
S00001,G00790,2
S00001,G00791,4
S00001,G00792,11
S00001,G00793,2
S00001,G00794,31
S00001,G00795,4
S00001,G00796,2
S00001,G00797,12
S00001,G00798,5
S00001,G00799,1
S00001,G00800,1
S00001,G00801,1
S00001,G00802,1
S00001,G00803,6
S00001,G00804,19
S00001,G00805,2
S00001,G00806,18
S00001,G00807,2
S00001,G00808,2
S00001,G00809,3
S00001,G00810,5
S00001,G00811,2
S00001,G00812,1
S00001,G00813,1
S00001,G00814,6
S00001,G00815,10
S00001,G00816,4
S00001,G00817,4
S00001,G00818,43
S00001,G00819,3
S00001,G00820,4
S00001,G00821,2
S00001,G00822,6
S00001,G00823,1
S00001,G00824,2
S00001,G00825,8
S00001,G00826,31
S00001,G00827,8
S00001,G00828,10
S00001,G00829,6
S00001,G00830,44
S00001,G00831,16
S00001,G00832,8
S00001,G00833,10
S00001,G00834,4
S00001,G00835,4
S00001,G00836,31
S00001,G00837,2
S00001,G00838,77
S00001,G00839,126
S00001,G00840,2
S00001,G00841,26
S00001,G00842,10
S00001,G00843,6
S00001,G00844,3
S00001,G00845,2
S00001,G00846,36
S00001,G00847,18
S00001,G00848,16
S00001,G00849,1
S00001,G00850,2
S00001,G00851,1
S00001,G00852,14
S00001,G00853,2
S00001,G00854,1
S00001,G00855,1
S00001,G00856,9
S00001,G00857,5
S00001,G00858,4
S00001,G00859,8
S00001,G00860,2
S00001,G00861,3
S00001,G00862,1
S00001,G00863,4
S00001,G00864,10
S00001,G00865,2
S00001,G00866,4
S00001,G00867,1
S00001,G00868,1
S00001,G00869,1
S00001,G00870,6
S00001,G00871,4
S00001,G00872,1
S00001,G00873,3
S00001,G00874,2
S00001,G00875,1
S00001,G00876,1
S00001,G00877,1
S00001,G00878,1
S00001,G00879,4
S00001,G00880,6
S00001,G00881,1
S00001,G00882,1
S00001,G00883,1
S00001,G00884,8
S00001,G00885,2
S00001,G00886,1
S00001,G00887,1
S00001,G00888,2
S00001,G00889,1
S00001,G00890,10
S00001,G00891,1
S00001,G00892,3
S00001,G00893,8
S00001,G00894,1
S00001,G00895,1
S00001,G00896,1
S00001,G00897,46
S00001,G00898,2
S00001,G00899,4
S00001,G00900,1
S00001,G00901,2
S00001,G00902,10
S00001,G00903,1
S00001,G00904,2
S00001,G00905,1
S00001,G00906,27
S00001,G00907,2
S00001,G00908,9
S00001,G00909,1
S00001,G00910,2
S00001,G00911,1
S00001,G00912,2
S00001,G00913,1
S00001,G00914,30
S00001,G00915,48
S00001,G00916,4
S00001,G00917,2
S00001,G00918,1
S00001,G00919,3
S00001,G00920,3
S00001,G00921,1
S00001,G00922,2
S00001,G00923,1
S00001,G00924,4
S00001,G00925,61
S00001,G00926,5
S00001,G00927,21
S00001,G00928,2
S00001,G00929,4
S00001,G00930,5
S00001,G00931,5
S00001,G00932,49
S00001,G00933,2
S00001,G00934,5
S00001,G00935,1
S00001,G00936,13
S00001,G00937,4
S00001,G00938,3
S00001,G00939,1
S00001,G00940,1
S00001,G00941,1
S00001,G00942,4
S00001,G00943,1
S00001,G00944,15
S00001,G00945,1
S00001,G00946,3
S00001,G00947,1
S00001,G00948,1
S00001,G00949,1
S00001,G00950,90
S00001,G00951,1
S00001,G00952,1
S00001,G00953,6
S00001,G00954,1
S00001,G00955,12
S00001,G00956,15
S00001,G00957,2
S00001,G00958,3
S00001,G00959,2
S00001,G00960,1
S00001,G00961,1
S00001,G00962,1
S00001,G00963,4
S00001,G00964,3
S00001,G00965,13
S00001,G00966,2
S00001,G00967,6
S00001,G00968,70
S00001,G00969,1
S00001,G00970,2
S00001,G00971,2
S00001,G00972,5
S00001,G00973,1
S00001,G00974,2
S00001,G00975,3
S00001,G00976,1
S00001,G00977,2
S00001,G00978,2
S00001,G00979,1
S00001,G00980,30
S00001,G00981,2
S00001,G00982,26
S00001,G00983,1
S00001,G00984,7
S00001,G00985,2
S00001,G00986,9
S00001,G00987,1
S00001,G00988,1
S00001,G00989,1
S00001,G00990,1
S00001,G00991,4
S00001,G00992,1
S00001,G00993,1
S00001,G00994,32
S00001,G00995,1
S00001,G00996,13
S00001,G00997,2
S00001,G00998,2
S00001,G00999,6
S00001,G01000,1
S00001,G01001,7
S00001,G01002,1
S00001,G01003,1
S00001,G01004,2
S00001,G01005,3
S00001,G01006,1
S00001,G01007,1
S00001,G01008,1
S00001,G01009,3
S00001,G01010,3
S00001,G01011,5
S00001,G01012,1
S00001,G01013,2
S00001,G01014,2
S00001,G01015,1
S00001,G01016,2
S00001,G01017,8
S00001,G01018,1
S00001,G01019,2
S00001,G01020,1
S00001,G01021,3
S00001,G01022,3
S00001,G01023,1
S00001,G01024,1
S00001,G01025,5
S00001,G01026,1
S00001,G01027,1
S00001,G01028,2
S00001,G01029,60
S00001,G01030,2
S00001,G01031,10
S00001,G01032,3
S00001,G01033,4
S00001,G01034,3
S00001,G01035,9
S00001,G01036,1
S00001,G01037,4
S00001,G01038,2
S00001,G01039,10
S00001,G01040,2
S00001,G01041,1
S00001,G01042,9
S00001,G01043,11
S00001,G01044,2
S00001,G01045,1
S00001,G01046,4
S00001,G01047,57
S00001,G01048,2
S00001,G01049,2
S00001,G01050,8
S00001,G01051,3
S00001,G01052,1
S00001,G01053,1
S00001,G01054,1
S00001,G01055,8
S00001,G01056,1
S00001,G01057,11
S00001,G01058,2
S00001,G01059,8
S00001,G01060,11
S00001,G01061,35
S00001,G01062,3
S00001,G01063,2
S00001,G01064,28
S00001,G01065,5
S00001,G01066,16
S00001,G01067,3
S00001,G01068,2
S00001,G01069,18
S00001,G01070,3
S00001,G01071,1
S00001,G01072,2
S00001,G01073,20
S00001,G01074,1
S00001,G01075,1
S00001,G01076,6
S00001,G01077,22
S00001,G01078,11
S00001,G01079,3
S00001,G01080,3
S00001,G01081,6
S00001,G01082,1
S00001,G01083,1
S00001,G01084,1
S00001,G01085,1
S00001,G01086,1
S00001,G01087,1
S00001,G01088,1
S00001,G01089,1
S00001,G01090,3
S00001,G01091,51
S00001,G01092,36
S00001,G01093,1
S00001,G01094,1
S00001,G01095,5
S00001,G01096,1
S00001,G01097,1
S00001,G01098,1
S00001,G01099,7
S00001,G01100,6
S00001,G01101,4
S00001,G01102,1
S00001,G01103,4
S00001,G01104,1
S00001,G01105,1
S00001,G01106,1
S00001,G01107,4
S00001,G01108,1
S00001,G01109,2
S00001,G01110,6
S00001,G01111,3
S00001,G01112,2
S00001,G01113,1
S00001,G01114,3
S00001,G01115,1
S00001,G01116,1
S00001,G01117,3
S00001,G01118,1
S00001,G01119,4
S00001,G01120,1
S00001,G01121,1
S00001,G01122,1
S00001,G01123,1
S00001,G01124,3
S00001,G01125,2
S00001,G01126,1
S00001,G01127,1
S00001,G01128,2
S00001,G01129,7
S00001,G01130,16
S00001,G01131,1
S00001,G01132,2
S00001,G01133,2
S00001,G01134,3
S00001,G01135,27
S00001,G01136,1
S00001,G01137,2
S00001,G01138,1
S00001,G01139,1
S00001,G01140,1
S00001,G01141,1
S00001,G01142,2
S00001,G01143,18
S00001,G01144,13
S00001,G01145,1
S00001,G01146,2
S00001,G01147,1
S00001,G01148,39
S00001,G01149,1
S00001,G01150,1
S00001,G01151,2
S00001,G01152,2
S00001,G01153,1
S00001,G01154,1
S00001,G01155,1
S00001,G01156,4
S00001,G01157,2
S00001,G01158,35
S00001,G01159,1
S00001,G01160,7
S00001,G01161,1
S00001,G01162,1
S00001,G01163,1
S00001,G01164,1
S00001,G01165,1
S00001,G01166,1
S00001,G01167,1
S00001,G01168,2
S00001,G01169,1
S00001,G01170,2
S00001,G01171,1
S00001,G01172,1
S00001,G01173,27
S00001,G01174,2
S00001,G01175,2
S00001,G01176,1
S00001,G01177,2
S00001,G01178,11
S00001,G01179,1
S00001,G01180,1
S00002,G01181,5
S00002,G01182,36
S00002,G01183,13
S00002,G01184,9
S00002,G01185,10
S00002,G01186,477
S00002,G01187,1
S00002,G01188,11
S00002,G01189,4
S00002,G01190,5
S00002,G01191,3
S00002,G01192,1
S00002,G01193,2
S00002,G01194,4
S00002,G01195,5
S00002,G01196,3
S00002,G01197,15
S00002,G01198,2
S00002,G01199,2
S00002,G01200,1
S00002,G01201,3
S00002,G01202,10
S00002,G01203,13
S00002,G01204,115
S00002,G01205,6
S00002,G01206,8
S00002,G01207,4
S00002,G01208,3
S00002,G01209,1
S00002,G01210,8
S00002,G01211,1
S00002,G01212,6
S00002,G01213,2
S00002,G01214,23
S00002,G01215,1
S00002,G01216,3
S00002,G01217,13
S00002,G01218,2
S00002,G01219,4
S00002,G01220,15
S00002,G01221,10
S00002,G01222,11
S00002,G01223,2
S00002,G01224,1
S00002,G01225,28
S00002,G01226,4
S00002,G01227,15
S00002,G01228,8
S00002,G01229,1
S00002,G01230,2
S00002,G01231,3
S00002,G01232,2
S00002,G01233,2
S00002,G01234,23
S00002,G01235,15
S00002,G01236,4
S00002,G01237,55
S00002,G01238,1
S00002,G01239,2
S00002,G01240,1
S00002,G01241,28
S00002,G01242,2
S00002,G01243,3
S00002,G01244,19
S00002,G01245,20
S00002,G01246,4
S00002,G01247,30
S00002,G01248,4
S00002,G01249,5
S00002,G01250,3
S00002,G01251,10
S00002,G01252,20
S00002,G01253,17
S00002,G01254,1
S00002,G01255,1
S00002,G01256,3
S00002,G01257,2
S00002,G01258,11
S00002,G01259,8
S00002,G01260,6
S00002,G01261,6
S00002,G01262,11
S00002,G01263,2
S00002,G01264,47
S00002,G01265,17
S00002,G01266,1
S00002,G01267,9
S00002,G01268,1
S00002,G01269,3
S00002,G01270,3
S00002,G01271,3
S00002,G01272,1
S00002,G01273,5
S00002,G01274,27
S00002,G01275,8
S00002,G01276,23
S00002,G01277,18
S00002,G01278,4
S00002,G01279,4
S00002,G01280,4
S00002,G01281,12
S00002,G01282,1
S00002,G01283,8
S00002,G01284,3
S00002,G01285,7
S00002,G01286,26
S00002,G01287,25
S00002,G01288,16
S00002,G01289,17
S00002,G01290,5
S00002,G01291,17
S00002,G01292,7
S00002,G01293,5
S00002,G01294,32
S00002,G01295,3
S00002,G01296,1
S00002,G01297,3
S00002,G01298,2
S00002,G01299,2
S00002,G01300,2
S00002,G01301,3
S00002,G01302,11
S00002,G01303,5
S00002,G01304,3
S00002,G01305,3
S00002,G01306,3
S00002,G01307,2
S00002,G01308,2
S00002,G01309,18
S00002,G01310,11
S00002,G01311,8
S00002,G01312,2
S00002,G01313,6
S00002,G01314,15
S00002,G01315,2
S00002,G01316,1
S00002,G01317,1
S00002,G01318,1
S00002,G01319,2
S00002,G01320,3
S00002,G01321,15
S00002,G01322,1
S00002,G01323,2
S00002,G01324,11
S00002,G01325,3
S00002,G01326,2
S00002,G01327,17
S00002,G01328,1
S00002,G01329,1
S00002,G01330,1
S00002,G01331,5
S00002,G01332,1
S00002,G01333,1
S00002,G01334,1
S00002,G01335,2
S00002,G01336,21
S00002,G01337,3
S00002,G01338,2
S00002,G01339,3
S00002,G01340,3
S00002,G01341,5
S00002,G01342,2
S00002,G01343,5
S00002,G01344,1
S00002,G01345,109
S00002,G01346,18
S00002,G01347,5
S00002,G01348,23
S00002,G01349,1
S00002,G01350,2
S00002,G01351,18
S00002,G01352,4
S00002,G01353,79
S00002,G01354,1
S00002,G01355,1
S00002,G01356,1
S00002,G01357,40
S00002,G01358,1
S00002,G01359,1
S00002,G01360,2
S00002,G01361,34
S00002,G01362,1
S00002,G01363,22
S00002,G01364,6
S00002,G01365,21
S00002,G01366,3
S00002,G01367,8
S00002,G01368,1
S00002,G01369,33
S00002,G01370,1
S00002,G01371,5
S00002,G01372,4
S00002,G01373,1
S00002,G01374,4
S00002,G01375,5
S00002,G01376,3
S00002,G01377,3
S00002,G01378,4
S00002,G01379,8
S00002,G01380,10
S00002,G01381,8
S00002,G01382,1
S00002,G01383,6
S00002,G01384,6
S00002,G01385,70
S00002,G01386,13
S00002,G01387,2
S00002,G01388,1
S00002,G01389,3
S00002,G01390,1
S00002,G01391,10
S00002,G01392,7
S00002,G01393,1
S00002,G01394,33
S00002,G01395,12
S00002,G01396,1
S00002,G01397,51
